U,V
-4.349838,5.9
-4.649838,6.8
-5.149838,8.1
-5.649838,9.5
-5.949838,10.6
-5.949838,11.1
-5.849838,11.4
-5.649838,11.3
-5.649838,11.3
-5.349838,11.1
-5.149838,10.9
-4.649838,10.3
-4.449838,9.5
-4.149838,8.6
-4.049839,7.8
-3.849838,7.3
17.85016,10.4
19.85016,10.2
21.95016,9.8
24.15016,9.3
26.45016,8.400001
28.95016,7.2
31.15016,5.6
33.15016,3.7
34.85016,1.6
36.45016,-0.5
37.65016,-2.7
38.95016,-5
39.95016,-7.4
40.95016,-9.8
41.65016,-12.2
42.15016,-14.4
42.25016,-16.5
42.15016,-18.6
41.75016,-20.6
41.45016,-22.8
40.95016,-24.9
40.35016,-27.3
39.35016,-29.8
38.45016,-32.6
37.15016,-35.1
35.55016,-37
33.45016,-38.1
31.05016,-38.2
28.65016,-37.6
26.35016,-36.8
24.35016,-35.9
22.45016,-35.1
20.55016,-34
18.35016,-32.2
15.85016,-29.6
13.25016,-26.3
10.65016,-22.6
8.250162,-19.1
6.250162,-15.8
4.750162,-13.1
3.550162,-10.7
2.750162,-8.7
2.150162,-6.8
1.650162,-5
1.050162,-3.2
0.4501618,-1.5
-0.2498383,0.3
-0.8498383,2
-1.249838,3.3
-1.449838,4.1
-1.449838,4.5
-1.349838,4.6
-1.449838,4.9
-1.749838,5.5
-2.449838,6.7
-3.349838,8.1
-4.149838,9.400001
-4.549839,10.1
-4.649838,10.5
-4.449838,10.6
-4.149838,10.6
-3.849838,10.7
-3.549838,10.7
-3.249838,10.5
-3.049838,10
-2.649838,9.3
-2.249838,8.6
-1.749838,8.2
18.25016,13.5
20.85016,14.3
23.45016,14.7
26.15016,14.6
28.95016,13.9
31.65016,12.4
33.95016,10.2
35.85016,7.7
37.25016,5.1
38.45016,2.5
39.75016,-0.1
41.05016,-2.7
42.15016,-5.4
43.05016,-8.1
43.85016,-10.6
44.85016,-13.1
45.85016,-15.7
46.75016,-18.5
47.05016,-21.4
46.65016,-24.4
45.55016,-27.1
43.95016,-29.5
42.05016,-31.7
40.15016,-34
38.35016,-36.2
36.55016,-38.3
34.75016,-39.7
32.95016,-40.5
31.15016,-40.7
29.25016,-40.5
27.45016,-40.2
25.65016,-39.6
23.75016,-38.7
21.55016,-37.1
19.15016,-34.7
16.45016,-31.3
13.65016,-27.2
11.15016,-23
8.950162,-18.9
